Stock Quotes for ^DJI,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
8/6/2021,35077.44141,35246.78906,35077.44141,35208.51172,35208.51172,231570000
2021-08-05,34815.60938,35067.53906,34815.60938,35064.25,35064.25,216580000
2021-08-04,35047.44141,35047.44141,34790.62109,34792.67188,34792.67188,245300000
2021-08-03,34864.10156,35120.94141,34714.32813,35116.39844,35116.39844,259820000
2021-08-02,34968.55859,35192.10938,34808.19922,34838.16016,34838.16016,238620000
2021-07-30,35013.26172,35106.30078,34871.12891,34935.46875,34935.46875,276410000
2021-07-29,34985.98828,35171.51953,34985.98828,35084.53125,35084.53125,222680000
2021-07-28,35109.94922,35116.37109,34876.83984,34930.92969,34930.92969,347170000
2021-07-27,35078.89844,35078.89844,34878.07031,35058.51953,35058.51953,326610000
2021-07-26,35055.85938,35150.37109,34950.19141,35144.30859,35144.30859,259790000
2021-07-23,34855.10938,35095.32813,34855.10938,35061.55078,35061.55078,314040000
2021-07-22,34799.67969,34879.28125,34673.03125,34823.35156,34823.35156,291610000
2021-07-21,34556.96094,34820.23828,34556.96094,34798,34798,317090000
2021-07-20,33981.78906,34621.78906,33981.78906,34511.98828,34511.98828,387020000
2021-07-19,34528.48047,34528.48047,33741.76172,33962.03906,33962.03906,440440000
2021-07-16,35007.94141,35090.01172,34647.82031,34687.85156,34687.85156,322980000
2021-07-15,34924.80859,34990.41016,34762.87109,34987.01953,34987.01953,320450000
2021-07-14,34920.82813,35069.17969,34826.87109,34933.23047,34933.23047,344340000
2021-07-13,34959.96094,35018.78906,34876.89063,34888.78906,34888.78906,322430000
2021-07-12,34836.75,35014.89844,34730.14844,34996.17969,34996.17969,294800000
2021-07-09,34457.51172,34893.71875,34457.51172,34870.16016,34870.16016,301750000
2021-07-08,34569.01172,34569.01172,34145.58984,34421.92969,34421.92969,335690000
2021-07-07,34604.17188,34708.78125,34435.58984,34681.78906,34681.78906,302700000
2021-07-06,34790.16016,34814.19922,34358.42188,34577.37109,34577.37109,348430000
2021-07-02,34642.42188,34821.92969,34613.48828,34786.35156,34786.35156,301860000
2021-07-01,34507.32031,34640.28125,34498.85156,34633.53125,34633.53125,268280000
2021-06-30,34290.73828,34553.16016,34245.48047,34502.51172,34502.51172,295560000
2021-06-29,34338.89063,34469.82813,34266.82813,34292.28906,34292.28906,282360000
2021-06-28,34428.10156,34449.64844,34186.12891,34283.26953,34283.26953,280280000
2021-06-25,34328.10156,34501.01953,34314.80078,34433.83984,34433.83984,432550000
2021-06-24,33933.91016,34233.01953,33933.91016,34196.82031,34196.82031,275870000
2021-06-23,33948.53906,34009.39844,33869.82813,33874.23828,33874.23828,255280000
2021-06-22,33872.55859,34040.69922,33751.05859,33945.57813,33945.57813,284130000
2021-06-21,33312.07031,33908.08984,33312.07031,33876.96875,33876.96875,317260000
2021-06-18,33622.69922,33622.69922,33271.92969,33290.07813,33290.07813,563920000
2021-06-17,34014.37891,34091.78906,33626.60938,33823.44922,33823.44922,354690000
2021-06-16,34308.48047,34333.25,33917.10938,34033.67188,34033.67188,347150000
2021-06-15,34397.10156,34420.37891,34199.16016,34299.32813,34299.32813,272430000
2021-06-14,34472.51953,34472.51953,34211.53906,34393.75,34393.75,295530000
2021-06-11,34499.80859,34618.08984,34328.64844,34479.60156,34479.60156,260840000
